,GrowthRate,GrowthRateStd,Variant Name
3797,1.829197757666219,0.10084283044910772,B.1.526
3798,1.9005795770584624,0.09995906400782108,B.1.637
3799,2.9217590087773964,0.16284465319982477,B.1.637.1
3800,1.0433078971337206,0.07552845315214453,B.1.432
3801,1.0432867366343355,0.0755181519128331,B.1.511
3802,1.0462963017899944,0.07969926369028543,B.1.315
3803,1.0433109986229718,0.07647757920837871,B.1.190
3804,1.043281924598519,0.0755172392502329,B.1.542
3805,1.1294067356340725,0.09616678868591746,B.1.258
3806,1.1305495911664802,0.0984434507572731,B.1.258.2
3807,1.130559445992142,0.09921975754194386,G.1
3808,1.1292716498181317,0.09682621452829315,B.1.258.3
3809,1.129204180246494,0.09645149826247545,B.1.258.15
3810,1.1577122907014077,0.10627843839725655,B.1.258.16
3811,1.166436064658426,0.09761292826360718,B.1.258.11
3812,1.167336993657279,0.09818386218455465,B.1.258.20
3813,1.166524389513376,0.09751507326450837,B.1.258.12
3814,1.1669725144795584,0.0981616265648926,B.1.258.9
3815,1.16683171618796,0.09865485917332857,B.1.258.10
3816,1.166457513763878,0.09829742004886684,B.1.258.19
3817,1.166524389513376,0.09751507326450837,B.1.258.6
3818,1.1659285740398986,0.10029930089578605,B.1.258.18
3819,1.1666873558597237,0.09958698099395258,B.1.258.7
3820,1.199604225463006,0.10939201720208541,B.1.258.4
3821,1.20089385826329,0.10753378251405692,B.1.258.5
3822,1.2008259847369145,0.1090319706251798,B.1.258.23
3823,1.2199750318560016,0.10424831429469517,B.1.258.17
3824,1.1681854102734315,0.10002986176914355,B.1.258.22
3825,1.1645634953943056,0.10371543271463134,B.1.258.14
3826,1.0474715415818627,0.07821258972402051,B.1.256
3827,1.0433131967496334,0.076109951821227,B.1.182
3828,1.043281924598519,0.0755172392502329,B.1.192
3829,1.0900370601512628,0.08826936631342844,B.1.561
3830,1.1046624005249908,0.1075575850345478,B.1.404
3831,1.1221959484869193,0.1484960712612687,B.1.224
3832,1.043281924598519,0.0755172392502329,B.1.420
3833,1.0432777260222252,0.07588794205080779,B.1.600
3834,1.0432511940921259,0.07558536943645361,B.1.181
3835,1.043277527344183,0.07559876834044592,B.1.223
3836,1.0434851512412506,0.0757687395250739,B.1.416
3837,1.0436730959943479,0.07568386697655906,B.1.416.1
3838,1.0432459003474077,0.0760576022823054,B.1.225
3839,1.043281924598519,0.0755172392502329,B.1.609
3840,1.043402312693131,0.07612240674300633,B.1.189
3841,1.043281924598519,0.0755172392502329,B.1.180
3842,1.043252439969932,0.07561201174298553,B.1.157
3843,1.0433432008384664,0.07596909353369734,B.1.418
3844,1.0787312348087115,0.08295095127663074,B.1.409
3845,1.078665448431724,0.08391339646734201,B.1.396
3846,1.0797459584362343,0.08303481795204873,B.1.234
3847,1.1589130466111368,0.08800716918890056,B.1.407
3848,1.0785183812466985,0.08497678364634233,B.1.417
3849,1.0784386843587443,0.08213044109234618,B.1.240
3850,1.1026573955684702,0.09651478473352117,B.1.550
3851,1.0784951639846156,0.08716768961572119,B.1.240.2
3852,1.0780478168955263,0.08295083512319129,B.1.240.1
3853,1.078498742878125,0.08278972138169459,B.1.242
3854,1.0784894831655345,0.08259484857456208,B.1.403
3855,1.4009113924927916,0.10849694887512962,B.1.551
3856,1.0784386843587443,0.08213044109234618,B.1.237
3857,1.0792415541679834,0.0832309657251265,B.1.232
3858,1.0784386843587443,0.08213044109234618,B.1.243
3859,1.6825074183258335,0.16473945094661377,B.1.243.2
3860,1.434528119620124,0.09973292873431273,B.1.243.1
3861,1.0784386843587443,0.08213044109234618,B.1.602
3862,1.0790405914446954,0.08270755769347729,B.1.239
3863,1.0785122895053567,0.08226739251664222,B.1.402
3864,1.0784704898027198,0.08256783410081249,B.1.397
3865,1.0784373916663692,0.08219653060635967,B.1.400
3866,1.080170887115205,0.08450504997466582,B.1.421
3867,1.4342838983660684,0.10074099655801182,B.1.400.1
3868,1.0796813586520118,0.08282933590211766,B.1.610
3869,1.078258812370421,0.084885484599145,B.1.235
3870,1.0784386843587443,0.08213044109234618,B.1.238
3871,1.0784386843587443,0.08213044109234618,B.1.558
3872,1.0860784190549455,0.08822327080853494,B.1.399
3873,1.0784386843587443,0.08213044109234618,B.1.401
3874,1.078721506340492,0.08404842997061418,B.1.405
3875,1.360859429631899,0.11138929310414165,B.1.398
3876,1.0784256404538886,0.08232560236943776,B.1.233
3877,1.077792656482139,0.08334186984737865,B.1.236
3878,1.077657348744469,0.08358363088220047,B.1.554
3879,1.0784386843587443,0.08213044109234618,B.1.241
3880,1.0784386843587443,0.08213044109234618,B.1.231
3881,1.0784424542783742,0.08292180966949453,B.1.408
3882,1.078546912668955,0.08224532856761362,B.1.229
3883,1.0784186820801387,0.08222100988581563,B.1.556
3884,1.043281924598519,0.0755172392502329,B.1.415
3885,1.3462245741030905,0.23662405466171535,B.1.635
3886,1.043281924598519,0.0755172392502329,B.1.381
3887,1.1221695861398489,0.1010497347685503,B.1.222
3888,1.4015102465628675,0.09597749350181065,B.1.618
3889,1.0431382830963258,0.07570458207838703,B.1.545
3890,1.0432902120744523,0.07573727639746372,B.1.203
3891,1.0434191095268341,0.07712995331223413,B.1.137
3892,1.043281924598519,0.0755172392502329,B.1.220
3893,1.0421919050272765,0.0804169451965996,B.1.219
3894,1.0432033122142461,0.07668994695874848,B.1.387
3895,1.0432653058932646,0.0762216907074348,B.1.211
3896,1.0435063682950723,0.0774934401076477,B.1.388
3897,1.04327576283538,0.07626577432107866,B.1.83
3898,1.043281924598519,0.0755172392502329,B.1.178
3899,1.4008724668027697,0.10921335546142752,B.1.529
3900,1.0784834722135828,0.08290776959612935,B.1.184
3901,1.04321338853253,0.07570623106980785,B.1.147
3902,1.0430045085627684,0.07966921277125241,B.1.213
3903,1.0433582300702304,0.07604686953018773,B.1.6
3904,1.043281924598519,0.0755172392502329,B.1.212
3905,1.0436215350354083,0.07851346668451373,B.1.146
3906,1.0430420086889252,0.07596578170914248,B.1.208
3907,1.043260974265632,0.07605844159539119,B.1.151
3908,1.0417496310567644,0.0781263768599435,B.1.218
3909,1.1100995377663947,0.1236866420759986,B.1.214
3910,1.1101179455532397,0.12377278731262502,B.1.214.1
3911,1.4630755473040262,0.1691435340737227,B.1.214.3
3912,1.1803953376001814,0.1489052474290386,B.1.214.4
3913,1.043281924598519,0.0755172392502329,B.1.210
